date,book_value,shares,symbol
2020-12-31,,,T
2021-12-31,166332000000.0,7141063893.0,T
2022-12-31,97500000000.0,7128000000.0,T
2023-12-31,103297000000.0,7150063361.0,T
2024-12-31,104372000000.0,7175895450.0,T
