date,book_value,shares,symbol
2021-12-31,4775000000.0,425294120,ABNB
2022-12-31,5560000000.0,425294120,ABNB
2023-12-31,8165000000.0,425294120,ABNB
2024-12-31,8412000000.0,425294120,ABNB
