date,book_value,shares,symbol
2020-12-31,,,ACGL
2021-12-31,13545896000.0,378923894.0,ACGL
2022-12-31,12910000000.0,370345997.0,ACGL
2023-12-31,18353000000.0,373400000.0,ACGL
2024-12-31,20820000000.0,376400000.0,ACGL
