date,book_value,shares,symbol
2021-12-31,546909000.0,12858024,AMR
2022-12-31,1429755000.0,12858024,AMR
2023-12-31,1573928000.0,12858024,AMR
2024-12-31,1649497000.0,12858024,AMR
